GPU 0: Tesla V100-SXM2-32GB (UUID: GPU-174ec460-1533-c424-e029-7260db3096ae)
	 Link 0: Data Tx: 648555824 KiB
	 Link 0: Data Rx: 522000311 KiB
	 Link 1: Data Tx: 647844122 KiB
	 Link 1: Data Rx: 522320241 KiB
	 Link 2: Data Tx: 648837712 KiB
	 Link 2: Data Rx: 522318203 KiB
	 Link 3: Data Tx: 645016474 KiB
	 Link 3: Data Rx: 522317271 KiB
	 Link 4: Data Tx: 645021537 KiB
	 Link 4: Data Rx: 522312934 KiB
	 Link 5: Data Tx: 648837860 KiB
	 Link 5: Data Rx: 522305469 KiB
GPU 1: Tesla V100-SXM2-32GB (UUID: GPU-f0c9d544-1b11-defc-23ad-8a55edaccb83)
	 Link 0: Data Tx: 645264499 KiB
	 Link 0: Data Rx: 645023891 KiB
	 Link 1: Data Tx: 648602230 KiB
	 Link 1: Data Rx: 648841877 KiB
	 Link 2: Data Tx: 648550889 KiB
	 Link 2: Data Rx: 648127781 KiB
	 Link 3: Data Tx: 522000311 KiB
	 Link 3: Data Rx: 648555824 KiB
	 Link 4: Data Tx: 648612170 KiB
	 Link 4: Data Rx: 648857173 KiB
	 Link 5: Data Tx: 645267631 KiB
	 Link 5: Data Rx: 645034184 KiB
GPU 2: Tesla V100-SXM2-32GB (UUID: GPU-f348b3b4-aecc-4e86-2a8e-6adea4622537)
	 Link 0: Data Tx: 644280232 KiB
	 Link 0: Data Rx: 644985819 KiB
	 Link 1: Data Tx: 646836849 KiB
	 Link 1: Data Rx: 647046913 KiB
	 Link 2: Data Tx: 522320241 KiB
	 Link 2: Data Rx: 647844122 KiB
	 Link 3: Data Tx: 648841877 KiB
	 Link 3: Data Rx: 648602230 KiB
	 Link 4: Data Tx: 646824341 KiB
	 Link 4: Data Rx: 647048825 KiB
	 Link 5: Data Tx: 648857173 KiB
	 Link 5: Data Rx: 648612170 KiB
GPU 3: Tesla V100-SXM2-32GB (UUID: GPU-3d8f44a9-f73d-43c3-f22d-bee6cb3c8dff)
	 Link 0: Data Tx: 522318203 KiB
	 Link 0: Data Rx: 648837712 KiB
	 Link 1: Data Tx: 648127781 KiB
	 Link 1: Data Rx: 648550889 KiB
	 Link 2: Data Tx: 647046913 KiB
	 Link 2: Data Rx: 646836849 KiB
	 Link 3: Data Tx: 644967046 KiB
	 Link 3: Data Rx: 644278430 KiB
	 Link 4: Data Tx: 522305469 KiB
	 Link 4: Data Rx: 648837860 KiB
	 Link 5: Data Tx: 647048825 KiB
	 Link 5: Data Rx: 646824341 KiB
GPU 4: Tesla V100-SXM2-32GB (UUID: GPU-2990cd36-19e0-35a4-d742-5be1f5fd18e8)
	 Link 0: Data Tx: 522317271 KiB
	 Link 0: Data Rx: 645016474 KiB
	 Link 1: Data Tx: 644276934 KiB
	 Link 1: Data Rx: 644980538 KiB
	 Link 2: Data Tx: 644985661 KiB
	 Link 2: Data Rx: 644275926 KiB
	 Link 3: Data Tx: 645028712 KiB
	 Link 3: Data Rx: 645282266 KiB
	 Link 4: Data Tx: 522312934 KiB
	 Link 4: Data Rx: 645021537 KiB
	 Link 5: Data Tx: 645018572 KiB
	 Link 5: Data Rx: 645272177 KiB
GPU 5: Tesla V100-SXM2-32GB (UUID: GPU-d3631e83-1a68-dc8f-c37d-1c814b0e97d8)
	 Link 0: Data Tx: 645261135 KiB
	 Link 0: Data Rx: 645028942 KiB
	 Link 1: Data Tx: 644281674 KiB
	 Link 1: Data Rx: 644975990 KiB
	 Link 2: Data Tx: 644980538 KiB
	 Link 2: Data Rx: 644276934 KiB
	 Link 3: Data Tx: 645023891 KiB
	 Link 3: Data Rx: 645264499 KiB
	 Link 4: Data Tx: 645266522 KiB
	 Link 4: Data Rx: 645035654 KiB
	 Link 5: Data Tx: 645034184 KiB
	 Link 5: Data Rx: 645267631 KiB
GPU 6: Tesla V100-SXM2-32GB (UUID: GPU-4f2c2198-d42d-640a-7673-d66229708335)
	 Link 0: Data Tx: 645268909 KiB
	 Link 0: Data Rx: 645025845 KiB
	 Link 1: Data Tx: 644275926 KiB
	 Link 1: Data Rx: 644985661 KiB
	 Link 2: Data Tx: 645028942 KiB
	 Link 2: Data Rx: 645261135 KiB
	 Link 3: Data Tx: 644985819 KiB
	 Link 3: Data Rx: 644280232 KiB
	 Link 4: Data Tx: 645266211 KiB
	 Link 4: Data Rx: 645031320 KiB
	 Link 5: Data Tx: 645035654 KiB
	 Link 5: Data Rx: 645266522 KiB
GPU 7: Tesla V100-SXM2-32GB (UUID: GPU-a8544b18-6cba-63b6-a3ff-968559aca7f9)
	 Link 0: Data Tx: 644278430 KiB
	 Link 0: Data Rx: 644967046 KiB
	 Link 1: Data Tx: 645282266 KiB
	 Link 1: Data Rx: 645028712 KiB
	 Link 2: Data Tx: 644975990 KiB
	 Link 2: Data Rx: 644281674 KiB
	 Link 3: Data Tx: 645025845 KiB
	 Link 3: Data Rx: 645268909 KiB
	 Link 4: Data Tx: 645272177 KiB
	 Link 4: Data Rx: 645018572 KiB
	 Link 5: Data Tx: 645031320 KiB
	 Link 5: Data Rx: 645266211 KiB
